"總目 (編號)","總目","分目(編號)
","分目","2013–14實際開支
$’000","2014–15修訂預算
$’000","2015–16預算
$’000"
"800","賑災","332","內地四川省地震災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","5304","0","0"
"800","賑災","333","內地四川省地震災民賑濟計劃－給予樂施會的賑災撥款","1967","0","0"
"800","賑災","334","內地四川省地震災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","3491","0","0"
"800","賑災","335","內地四川省地震災民賑濟計劃－給予救世軍的賑災撥款","6180","0","0"
"800","賑災","336","內地四川省地震災民賑濟計劃－給予香港世界宣明會的賑災撥款","4636","0","0"
"800","賑災","337","內地地震災民賑濟計劃－給予四川省的賑災撥款","100000","0","0"
"800","賑災","338","內地四川省地震災民賑濟計劃－給予安澤國際救援協會有限公司的賑災撥款","2498","0","0"
"800","賑災","339","內地四川省地震災民賑濟計劃－給予施達基金會的賑災撥款","3127","0","0"
"800","賑災","340","內地四川省地震災民賑濟計劃－給予中華仁人家園協會有限公司的賑災撥款","1572","0","0"
"800","賑災","341","內地雲南省旱災災民賑濟計劃－給予樂施會的賑災撥款","1395","0","0"
"800","賑災","342","內地四川省及廣西壯族自治區水災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","4087","0","0"
"800","賑災","343","印度北阿坎德邦水災災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","1164","0","0"
"800","賑災","344","內地甘肅省地震災民賑濟計劃－給予救世軍的賑災撥款","5480","0","0"
"800","賑災","345","內地甘肅省地震災民賑濟計劃－給予無國界社工有限公司的賑災撥款","538","0","0"
"800","賑災","346","內地甘肅省地震災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","2845","0","0"
"800","賑災","347","內地黑龍江省水災災民賑濟計劃－給予無國界社工有限公司的賑災撥款","648","0","0"
"800","賑災","348","內地湖南省旱災災民賑濟計劃－給予救世軍的賑災撥款","4728","0","0"
"800","賑災","349","菲律賓風災災民賑濟計劃－給予香港世界宣明會的賑災撥款","7000","0","0"
"800","賑災","350","菲律賓風災災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","3500","0","0"
"800","賑災","351","菲律賓風災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","2057","0","0"
"800","賑災","352","菲律賓風災災民賑濟計劃－給予安澤國際救援協會有限公司的賑災撥款","3000","0","0"
"800","賑災","353","菲律賓風災災民賑濟計劃－給予施達基金會的賑災撥款","1244","0","0"
"800","賑災","354","菲律賓風災災民賑濟計劃－給予無國界社工有限公司的賑災撥款","674","0","0"
"800","賑災","355","菲律賓風災災民賑濟計劃－給予慈福行動有限公司的賑災撥款","1654","0","0"
"800","賑災","356","菲律賓風災災民賑濟計劃－給予中華仁人家園協會有限公司的賑災撥款","2463","0","0"
"800","賑災","357","波斯尼亞和黑塞哥維那水災災民賑濟計劃－給予香港世界宣明會的賑災撥款","0","1950","0"
"800","賑災","358","內地廣西壯族自治區及湖南省水災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","0","5144","0"
"800","賑災","359","波斯尼亞和黑塞哥維那及塞爾維亞水災災民賑濟計劃－給予樂施會的賑災撥款","0","2225","0"
"800","賑災","360","內地雲南省地震災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","0","6317","0"
"800","賑災","361","內地雲南省地震災民賑濟計劃－給予香港世界宣明會的賑災撥款","0","3070","0"
"800","賑災","362","內地貴州省水災災民賑濟計劃－給予樂施會的賑災撥款","0","1015","0"
"800","賑災","363","內地湖南省、貴州省及廣西省水災災民賑濟計劃－給予香港世界宣明會的賑災撥款","0","4500","0"
"800","賑災","364","內地雲南省地震災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","0","4000","0"
"800","賑災","365","內地雲南省地震災民賑濟計劃－給予救世軍的賑災撥款","0","3676","0"
"800","賑災","366","內地雲南省地震災民賑濟計劃－給予樂施會的賑災撥款","0","5610","0"
"800","賑災","367","內地雲南省地震災民賑濟計劃－給予懲教社教育基金的賑災撥款","0","395","0"
"800","賑災","368","印度查謨－克什米爾邦水災災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","0","1914","0"
"800","賑災","369","印度查謨－克什米爾邦水災災民賑濟計劃－給予施達基金會的賑災撥款","0","2889","0"
"800","賑災","370","印度查謨－克什米爾邦水災災民賑濟計劃－給予香港世界宣明會的賑災撥款","0","2000","0"
