"收入","總目 (編號)","總目","","分目(編號)
","分目","截至31.3.2014止的實際收入
$’000","2014–15修訂預算
$’000","2015–16預算
$’000"
"償還的貸款","251","房屋","香港房屋協會","213","郊區公共房屋(i)對面海","20705","758","758"
"償還的貸款","251","房屋","香港房屋協會","213","郊區公共房屋(ii)沙頭角","62847","2762","2762"
"償還的貸款","251","房屋","香港房屋協會","216","首次置業貸款計劃","12059446","1204","120"
"償還的貸款","251","房屋","公務員的房屋資助","251","購屋貸款","0","19800","36300"
"償還的貸款","252","給予學校／教師的貸款","","204","給予非牟利國際學校的貸款","188391","25087","63429"
"償還的貸款","252","給予學校／教師的貸款","","205","私立學校改善斜坡貸款計劃","0","0","400"
"償還的貸款","252","給予學校／教師的貸款","","206","為專上教育機構提供開辦課程貸款","2414452","206910","213767"
"償還的貸款","254","給予學生的貸款","","201","為修讀政府資助課程的專上學生提供須經入息審查的貸款","10345053","232692","241735"
"償還的貸款","254","給予學生的貸款","","202","免入息審查貸款計劃","6686762","1139395","1045841"
"償還的貸款","254","給予學生的貸款","","203","為專上學生提供須經入息審查的貸款","499357","140497","166531"
"償還的貸款","254","給予學生的貸款","","211","認可專上學院的學生","188392","38","7"
"償還的貸款","254","給予學生的貸款","","231","香港留英學生","173327","29","0"
"償還的貸款","255","為因工作而受傷的僱員及因與工作有關意外而死亡僱員的遺屬提供免息貸款","","201","給予因工作而受傷的僱員及死亡僱員的遺屬的貸款","0","74","95"
"償還的貸款","257","僱員補償援助基金","","201","給予僱員補償援助基金管理局的過渡貸款","225706","31147","31375"
"償還的貸款","262","漁農礦產","","201","漁業貸款","0","3846","42732"
"償還的貸款","262","漁農礦產","","213","嘉道理農業輔助貸款基金－給予海魚養殖戶的貸款","126851","182","60"
"償還的貸款","262","漁農礦產","","232","魚類統營處貸款基金－休漁期貸款計劃","0","51954","47968"
"償還的貸款","269","樓宇安全","","201","改善樓宇安全綜合貸款計劃","0","55000","59800"
"償還的貸款","275","中小型企業","","201","中小型企業特別信貸計劃","0","188","142"
"償還的貸款","276","供水事宜","","201","貸款予廣東省人民政府進行水質改善工程","1300200","118200","118200"
"貸款利息","","","","","","0","102442","140022"
"過期償還貸款的附加費","","","","","","0","4087","4087"
"投資收入","","","","","","0","3","88000"
"出售貸款所得的款項","","","","","","0","108231","215526"
"從政府一般收入轉撥的款項","","","","","","0","2500000","3000000"
