"人員","總目(編號)","開支總目","截至下列日期止的編制
職位數目總數
31.3.2015
修訂預算","截至下列日期止的編制
首長級編外職位數目
31.3.2015
修訂預算","截至下列日期止的編制
職位數目總數
31.3.2016
預算","截至下列日期止的編制
首長級編外職位數目
31.3.2016
預算"
"政府支薪人員","21","行政長官辦公室","104","","104",""
"政府支薪人員","22","漁農自然護理署","2061","","2081",""
"政府支薪人員","25","建築署","1810","","1814",""
"政府支薪人員","24","審計署","191","","192",""
"政府支薪人員","23","醫療輔助隊","99","","99",""
"政府支薪人員","82","屋宇署","1538","1","1690","1"
"政府支薪人員","26","政府統計處","1298","","1293",""
"政府支薪人員","27","民眾安全服務處","103","","103",""
"政府支薪人員","28","民航處","757","","730",""
"政府支薪人員","33","土木工程拓展署","1821","6","1836","6"
"政府支薪人員","30","懲教署","6943","","6946",""
"政府支薪人員","31","香港海關","6086","","6147",""
"政府支薪人員","37","衞生署","6151","","6238",""
"政府支薪人員","92","律政司","1288","5","1296","3"
"政府支薪人員","39","渠務署","1889","","1926",""
"政府支薪人員","42","機電工程署","399","","428",""
"政府支薪人員","44","環境保護署","1822","1","1849","3"
"政府支薪人員","45","消防處","10263","","10409",""
"政府支薪人員","49","食物環境衞生署","11183","","11186",""
"政府支薪人員","46","公務員一般開支","359","","359",""
"政府支薪人員","166","政府飛行服務隊","229","","230",""
"政府支薪人員","48","政府化驗所","474","","484",""
"政府支薪人員","59","政府物流服務署","711","","712",""
"政府支薪人員","51","政府產業署","213","","213",""
"政府支薪人員","143","政府總部：公務員事務局","616","","617",""
"政府支薪人員","152","政府總部：商務及經濟發展局工商及旅遊科","192","1","197","1"
"政府支薪人員","55","政府總部：商務及經濟發展局通訊及科技科","111","","120","2"
"政府支薪人員","144","政府總部：政制及內地事務局","174","1","177","1"
"政府支薪人員","138","政府總部：發展局規劃地政科","142","","144",""
"政府支薪人員","159","政府總部：發展局工務科","235","3","239","3"
"政府支薪人員","156","政府總部：教育局","5543","1","5583",""
"政府支薪人員","137","政府總部：環境局","50","1","49",""
"政府支薪人員","148","政府總部：財經事務及庫務局財經事務科","173","5","177","6"
"政府支薪人員","147","政府總部：財經事務及庫務局庫務科","180","","180",""
"政府支薪人員","139","政府總部：食物及衞生局食物科","47","","49",""
"政府支薪人員","140","政府總部：食物及衞生局衞生科","114","4","122","4"
"政府支薪人員","53","政府總部：民政事務局","242","4","261","4"
"政府支薪人員","155","政府總部：創新科技署","206","","206",""
"政府支薪人員","141","政府總部：勞工及福利局","118","3","119","3"
"政府支薪人員","47","政府總部：政府資訊科技總監辦公室","641","","644",""
"政府支薪人員","142","政府總部：政務司司長辦公室及財政司司長辦公室","554","4","551","4"
"政府支薪人員","96","政府總部：海外經濟貿易辦事處","150","","154",""
"政府支薪人員","151","政府總部：保安局","193","","198","1"
"政府支薪人員","158","政府總部：運輸及房屋局運輸科","179","3","191","5"
"政府支薪人員","60","路政署","2125","5","2158","5"
"政府支薪人員","63","民政事務總署","1972","","1996",""
"政府支薪人員","168","香港天文台","301","","308",""
"政府支薪人員","122","香港警務處","33398","","34001",""
"政府支薪人員","70","入境事務處","7109","","7215",""
"政府支薪人員","72","廉政公署","1477","1","1469",""
"政府支薪人員","74","政府新聞處","432","","435",""
"政府支薪人員","76","稅務局","2832","1","2833","1"
"政府支薪人員","78","知識產權署","139","1","139","1"
"政府支薪人員","79","投資推廣署","35","","35",""
"政府支薪人員","174","公務及司法人員薪俸及服務條件諮詢委員會聯合秘書處","35","","33",""
"政府支薪人員","80","司法機構","1795","","1847","1"
"政府支薪人員","90","勞工處","2317","1","2392","1"
"政府支薪人員","91","地政總署","4076","","4092",""
"政府支薪人員","94","法律援助署","542","","543",""
"政府支薪人員","95","康樂及文化事務署","9199","","9401",""
"政府支薪人員","100","海事處","1400","3","1404","3"
"政府支薪人員","180","電影、報刊及物品管理辦事處","67","","67",""
"政府支薪人員","116","破產管理署","242","","242",""
"政府支薪人員","118","規劃署","855","1","863","1"
"政府支薪人員","136","公務員敍用委員會秘書處","28","","28",""
"政府支薪人員","160","香港電台","700","1","703","1"
"政府支薪人員","162","差餉物業估價署","861","","866",""
"政府支薪人員","163","選舉事務處","214","1","259","1"
"政府支薪人員","169","截取通訊及監察事務專員秘書處","20","","23",""
"政府支薪人員","170","社會福利署","5824","","5853",""
"政府支薪人員","181","工業貿易署","497","","498",""
"政府支薪人員","186","運輸署","1543","","1565",""
"政府支薪人員","188","庫務署","486","","490",""
"政府支薪人員","190","大學教育資助委員會","64","","67",""
"政府支薪人員","194","水務署","4480","","4507",""
"政府支薪人員","173","在職家庭及學生資助事務處","683","","1117",""
"任職於其他公共機構的人員","","公司註冊處","308","","316",""
"任職於其他公共機構的人員","","機電工程營運基金","3533","","3533",""
"任職於其他公共機構的人員","","香港金融管理局","23","","18",""
"任職於其他公共機構的人員","","醫院管理局","1725","","1586",""
"任職於其他公共機構的人員","","房屋委員會","8693","1","8957","1"
"任職於其他公共機構的人員","","土地註冊處","537","","552",""
"任職於其他公共機構的人員","","法律援助服務局","4","","4",""
"任職於其他公共機構的人員","","通訊事務管理局辦公室","327","","334",""
"任職於其他公共機構的人員","","郵政署","5347","","5347",""
"任職於其他公共機構的人員","","職業訓練局","11","","9",""
