"一般收入帳目的收入","收入總目","收入分目","實際
2010–11
百萬元","實際
2010–11
%","實際
2011–12
百萬元","實際
2011–12
%","實際
2012–13
百萬元","實際
2012–13
%","實際
2013–14
百萬元","實際
2013–14
%","修訂預算
2014–15
百萬元","修訂預算
2014–15
%","預算
2015–16
百萬元","預算
2015–16
%"
"經營收入","內部稅收","入息及利得稅","143007","49","176822","53","182442","52","183506","52","201900","51","194610","51"
"經營收入","內部稅收","印花稅","51005","18","44356","13","42880","12","41515","12","73500","19","50000","13"
"經營收入","內部稅收","博彩及彩票稅","14759","5","15761","5","16565","5","18066","5","19588","5","19786","5"
"經營收入","內部稅收","飛機乘客離境稅","1813","1","1947","1","2029","1","2244","1","2313","1","2419","1"
"經營收入","公用事業及各項收費","","14846","5","16792","5","15277","4","15849","5","18534","5","19152","5"
"經營收入","一般差餉","","8956","3","9722","3","11204","3","14911","4","22272","6","21711","5"
"經營收入","應課稅品稅項","","7551","2","7725","2","8977","3","9720","3","10110","3","10317","3"
"經營收入","車輛稅","","6657","2","7070","2","7466","2","8338","2","10090","2","10335","3"
"經營收入","其他收入","","40128","14","48010","15","46640","13","50679","15","31882","8","52171","13"
"非經營收入","","","1567","1","2616","1","16220","5","3406","1","1918","0","2903","1"
"從各基金轉撥的款項","","","0","","1800","","500","","1000","","2000","","1000",""
